,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TRPL_DBL,DBL_DBL,Fantasy_PTS
1,Bam Adebayo,37,4.0,14.0,0.286,0.0,0.0,0.0,6.0,6.0,1.0,10.0,3.0,1.0,2.0,3.0,1.0,14.0,5.0,False,True,37.0
3,Bam Adebayo,33,7.0,14.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,10.0,4.0,1.0,0.0,5.0,4.0,18.0,3.0,False,True,37.5
1,Bam Adebayo,35,5.0,15.0,0.333,0.0,0.0,0.0,5.0,6.0,0.833,11.0,2.0,2.0,1.0,2.0,4.0,15.0,6.0,False,True,38.25
0,Bam Adebayo,37,8.0,15.0,0.533,0.0,0.0,0.0,3.0,3.0,1.0,7.0,6.0,3.0,1.0,2.0,4.0,19.0,0.0,False,False,43.75
3,Bam Adebayo,38,6.0,15.0,0.4,0.0,1.0,0.0,6.0,6.0,1.0,14.0,4.0,2.0,0.0,5.0,5.0,18.0,9.0,False,True,44.5
3,Bam Adebayo,34,7.0,18.0,0.389,0.0,2.0,0.0,3.0,6.0,0.5,14.0,5.0,0.0,2.0,1.0,5.0,17.0,-11.0,False,True,47.0
2,Bam Adebayo,28,6.0,11.0,0.545,0.0,1.0,0.0,6.0,7.0,0.857,8.0,3.0,1.0,0.0,3.0,3.0,18.0,17.0,False,False,33.0
2,Bam Adebayo,33,11.0,18.0,0.611,0.0,0.0,0.0,2.0,3.0,0.667,15.0,4.0,1.0,1.0,5.0,4.0,24.0,19.0,False,True,51.75
2,Bam Adebayo,33,13.0,20.0,0.65,0.0,0.0,0.0,6.0,6.0,1.0,8.0,1.0,0.0,1.0,3.0,2.0,32.0,1.0,False,False,44.0
3,Bam Adebayo,33,5.0,15.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,9.0,2.0,0.0,1.0,5.0,4.0,12.0,-15.0,False,False,25.75
2,Bam Adebayo,34,8.0,11.0,0.727,0.0,0.0,0.0,3.0,4.0,0.75,8.0,5.0,2.0,0.0,5.0,4.0,19.0,20.0,False,False,38.0
3,Bam Adebayo,32,9.0,16.0,0.563,0.0,0.0,0.0,2.0,2.0,1.0,11.0,6.0,0.0,0.0,4.0,5.0,20.0,2.0,False,True,42.25
4,Ben Simmons,23,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,3.0,6.0,4.0,-26.0,False,False,16.25
3,Ben Simmons,34,8.0,8.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,6.0,3.0,0.0,1.0,3.0,6.0,20.0,-5.0,False,False,32.5
3,Ben Simmons,33,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,3.0,0.0,2.0,2.0,2.0,-1.0,False,False,34.0
3,Ben Simmons,34,2.0,7.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,5.0,9.0,2.0,1.0,2.0,4.0,4.0,2.0,False,False,28.75
3,Ben Simmons,37,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,1.0,8.0,5.0,3.0,0.0,1.0,4.0,7.0,1.0,False,False,30.0
6,Ben Simmons,23,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,2.0,4.0,6.0,18.0,False,False,28.25
4,Ben Simmons,32,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,3.0,2.0,6.0,-3.0,False,False,33.0
